City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mahina,-17.5065,-149.489,302.02,89,75,7.2,PF,1707362046
83,olonkinbyen,70.9221,-8.7187,270.32,56,91,5.75,SJ,1707361798
84,puyang chengguanzhen,35.7028,115.0053,277.11,64,58,3.33,CN,1707362046
85,chimore,-16.9833,-65.1333,296.13,99,100,0.93,BO,1707362046
86,sitka,57.0531,-135.33,275.09,75,40,2.06,US,1707362047
87,howrah,22.5892,88.3103,293.15,56,2,2.57,IN,1707362047
88,keflavik,64.0049,-22.5624,269.39,68,0,7.2,IS,1707362048
89,minas de marcona,-15.2119,-75.1103,292.76,93,100,3.33,PE,1707362048
90,oromocto,45.8351,-66.4792,267.43,92,73,0.89,CA,1707362048
91,itaituba,-4.2761,-55.9836,296.91,99,99,0.54,BR,1707361802
92,nogliki,51.8333,143.1667,257.23,85,77,2.24,RU,1707362048
93,fort mcmurray,56.7268,-111.381,264.51,92,46,1.16,CA,1707361798
94,ruston,32.5232,-92.6379,287.92,58,0,3.6,US,1707361974
95,kertih,4.5141,103.4483,302.15,69,38,3.43,MY,1707362049
96,jayapura,-2.5333,140.7,303.81,67,88,4.33,ID,1707362049
97,avarua,-21.2078,-159.775,301.18,74,20,7.72,CK,1707362050
98,kununurra,-15.7667,128.7333,306.14,52,40,7.72,AU,1707362050
99,fortaleza,-3.7227,-38.5247,302.22,79,40,3.6,BR,1707362013
100,ungsang-nodongjagu,42.3578,130.4622,272.3,31,0,3.77,KP,1707362050
101,wailua homesteads,22.0669,-159.378,299.39,72,100,6.69,US,1707362050
102,porto novo,6.4965,2.6036,296.65,57,8,0.19,BJ,1707362013
103,aoulef,26.9667,1.0833,288.03,25,44,4.37,DZ,1707362051
104,edson,53.5835,-116.4356,267.21,93,100,2.06,CA,1707362051
105,dikhil,11.5,42.1667,294.38,72,48,5.45,DJ,1707362051
106,ust-nera,64.5667,143.2,246.95,96,100,1.03,RU,1707361801
107,nova sintra,14.8667,-24.7167,294.37,74,0,4.67,CV,1707362052
108,kuta,-8.7233,115.1723,302.12,83,20,4.12,ID,1707362052
109,obihiro,42.9172,143.2044,266.82,78,26,1.33,JP,1707362052
110,mil'kovo,55.6078,37.7956,260.23,94,98,4.85,RU,1707362052
111,tiksi,71.6872,128.8694,252.48,99,100,2.29,RU,1707362053
112,cestos city,5.46,-9.5828,299.59,87,16,2.16,LR,1707362053
113,whistler,50.1164,-122.9695,275.68,83,95,0.38,CA,1707362053
114,metlili chaamba,32.2667,3.6333,284.1,34,0,2.45,DZ,1707362053
115,inda silase,14.1031,38.2829,289.21,52,90,1.12,ET,1707362053
116,colonia,50.9333,6.95,278.12,91,100,2.06,DE,1707361808
117,ulladulla,-35.35,150.4667,295.12,51,64,3.91,AU,1707362054
118,rongelap,11.1635,166.8941,299.56,75,100,9.32,MH,1707362054
119,ilulissat,69.2167,-51.1,261.16,67,100,7.72,GL,1707362054
120,quibala,-10.7337,14.98,290.84,96,100,0.39,AO,1707362054
121,egilsstadir,65.2653,-14.3948,261.49,95,89,2.46,IS,1707362055
122,constantia,44.1833,28.65,281.53,74,100,3.84,RO,1707362046
123,longyearbyen,78.2186,15.6401,265.06,73,40,6.69,SJ,1707362055
124,zyrya,40.3661,50.2917,282.2,68,4,14.18,AZ,1707362055
125,kolokani,13.5728,-8.0339,294.34,13,35,4.52,ML,1707362056
126,lihue,21.9789,-159.3672,299.73,72,100,6.69,US,1707362056
127,horsham,51.064,-0.3272,278.95,85,75,2.57,GB,1707362056
128,margaret river,-33.95,115.0667,299.88,40,0,2.11,AU,1707362056
129,tayu,-6.5397,111.0518,302.89,65,51,0.8,ID,1707362056
130,bonthe,7.5264,-12.505,297.9,93,16,1.47,SL,1707361823
131,hofors,60.5457,16.2867,264.25,98,45,1.06,SE,1707362057
132,ozimek,50.6794,18.2137,274.46,87,100,0.96,PL,1707362057
133,suhbaatar,50.2314,106.2078,251.41,95,90,1.79,MN,1707362057
134,afaahiti,-17.75,-149.2833,301.08,88,100,14.82,PF,1707362058
135,arti,56.4234,58.5328,251.0,100,96,1.68,RU,1707362058
136,susuman,62.7833,148.1667,244.95,98,97,0.59,RU,1707362058
137,inongo,-1.95,18.2667,297.07,83,99,1.41,CD,1707362059
138,touros,-5.1989,-35.4608,299.9,81,41,4.66,BR,1707362059
139,matola,-25.9622,32.4589,298.63,78,100,3.04,MZ,1707362059
140,corner brook,48.9667,-57.9484,259.65,99,83,1.1,CA,1707361813
141,den burg,53.0542,4.7972,274.8,92,100,1.54,NL,1707362062
142,badger,64.8,-147.5333,255.36,81,40,1.54,US,1707362062
143,garbahaarrey,3.3289,42.2209,298.89,69,4,3.59,SO,1707362062
144,prince rupert,54.3161,-130.3201,274.15,75,55,1.59,CA,1707362062
145,kavaratti,10.5669,72.642,301.01,73,100,2.41,IN,1707362063
146,vavatenina,-17.4667,49.2,296.82,99,99,0.66,MG,1707362063
147,kapuskasing,49.4169,-82.4331,272.97,99,100,0.82,CA,1707362063
148,yellowknife,62.456,-114.3525,256.24,84,97,3.58,CA,1707362063
149,ancud,-41.8697,-73.8203,284.06,81,92,3.33,CL,1707361835
150,siracusa,37.0881,15.2792,284.15,64,14,3.03,IT,1707362064
151,la'ie,21.6477,-157.9253,300.13,70,7,4.47,US,1707362064
152,west island,-12.1568,96.8225,299.14,94,75,4.63,CC,1707362064
153,hadibu,12.65,54.0333,298.13,69,100,5.4,YE,1707362065
154,hamilton,39.1834,-84.5333,283.5,52,0,3.6,US,1707361812
155,ola,59.5833,151.2833,255.16,78,14,2.26,RU,1707362065
156,taunggyi,20.7833,97.0333,294.76,37,0,1.23,MM,1707362065
157,nuuk,64.1835,-51.7216,264.49,73,100,7.72,GL,1707362003
158,greenville,35.6127,-77.3663,276.55,86,0,0.45,US,1707362065
159,bolu,40.6667,31.5833,278.9,68,100,1.96,TR,1707362066
160,nanao,37.05,136.9667,279.44,89,99,1.21,JP,1707362066
161,stephenville,32.2207,-98.2023,288.84,74,0,6.17,US,1707362066
162,ribeira grande,38.5167,-28.7,289.69,86,50,10.73,PT,1707362066
163,bilibino,68.0546,166.4372,238.4,100,98,0.38,RU,1707362066
164,kroya,-7.6331,109.2461,302.45,67,18,1.18,ID,1707362067
165,iqaluit,63.7506,-68.5145,241.34,98,46,1.35,CA,1707362067
166,kayangel,8.0823,134.7173,300.66,69,95,7.1,PW,1707362067
167,punta arenas,-53.15,-70.9167,282.21,66,0,13.38,CL,1707362067
168,likasi,-10.9814,26.7333,290.19,97,98,0.97,CD,1707362067
169,college,64.8569,-147.8028,255.41,73,40,1.54,US,1707361796
170,bredasdorp,-34.5322,20.0403,291.24,77,58,2.82,ZA,1707362069
171,spencer,43.1414,-95.1444,283.21,65,75,8.75,US,1707361844
172,san julian,21.0167,-102.1667,289.71,24,80,2.38,MX,1707362069
173,afgooye,2.1381,45.1212,298.01,83,19,6.9,SO,1707362072
174,xining,36.6167,101.7667,266.6,70,33,0.95,CN,1707362072
175,san patricio,28.017,-97.5169,294.12,81,92,5.73,US,1707362072
176,cajamarca,-7.1638,-78.5003,286.92,96,90,0.45,PE,1707362072
177,petropavlovsk-kamchatsky,53.0452,158.6483,266.48,80,75,2.0,RU,1707362072
178,kenai,60.5544,-151.2583,270.2,93,0,6.17,US,1707362018
179,harstad,68.799,16.5293,268.79,92,48,7.15,NO,1707362073
180,aioun,16.6614,-9.6149,294.71,9,100,4.95,MR,1707362073
181,morehead city,34.7229,-76.726,278.73,84,0,3.09,US,1707362037
182,lae,-6.7221,146.9847,304.51,62,100,2.32,PG,1707362073
183,enewetak,11.3474,162.3373,299.8,80,100,8.69,MH,1707362074
184,nar'yan-mar,67.6713,53.087,255.99,96,100,5.81,RU,1707361811
185,kamensk-ural'skiy,56.4185,61.9329,261.44,98,95,2.44,RU,1707362074
186,horta,38.5333,-28.6333,289.27,86,58,10.73,PT,1707362074
187,namibe,-15.1961,12.1522,298.31,77,99,3.78,AO,1707361821
188,nakasongola,1.3089,32.4564,293.75,64,9,1.66,UG,1707362074
189,fasa,28.9383,53.6482,270.73,59,0,2.06,IR,1707362075
190,chistopol',55.3631,50.6424,264.02,94,100,4.65,RU,1707362075
191,alice springs,-23.7,133.8833,304.94,13,12,8.23,AU,1707362075
192,yemel'yanovo,56.1681,92.6767,256.6,85,99,0.0,RU,1707362075
193,barra de santo antonio,-9.4047,-35.5072,298.75,83,72,3.89,BR,1707362076
194,auburn,47.3073,-122.2284,281.05,89,100,3.09,US,1707362076
195,udachny,66.4167,112.4,246.73,75,100,1.21,RU,1707361823
196,invercargill,-46.4,168.35,287.05,80,68,8.94,NZ,1707361799
197,bada,51.392,109.8717,262.1,78,65,1.44,RU,1707362076
198,rawson,-43.3002,-65.1023,293.85,29,88,4.88,AR,1707361845
199,qarauyl,48.9451,79.255,269.45,82,81,7.92,KZ,1707362077
200,arraial do cabo,-22.9661,-42.0278,298.76,88,100,2.66,BR,1707362077
201,charlottetown,46.2352,-63.1267,268.4,86,64,2.06,CA,1707362077
202,palikir - national government center,6.9248,158.1611,304.56,70,100,5.14,FM,1707362077
203,ha'il,27.5219,41.6907,278.16,52,0,2.06,SA,1707362077
204,choibalsan,48.0667,114.5,257.27,81,82,2.9,MN,1707362078
205,laguna,38.421,-121.4238,282.14,92,100,4.12,US,1707362078
206,brokopondo,4.75,-55.1667,298.56,78,29,5.5,SR,1707362078
207,vorgashor,67.5833,63.95,266.04,87,100,5.52,RU,1707361811
208,st. john's,47.5649,-52.7093,271.36,91,100,8.23,CA,1707361855
209,igarka,67.4667,86.5833,252.72,99,96,2.62,RU,1707362079
210,chinde,26.8418,88.0763,279.32,56,0,2.02,NP,1707362079
211,hithadhoo,-0.6,73.0833,300.63,77,92,3.77,MV,1707361840
212,camabatela,-8.1881,15.375,290.45,88,100,1.11,AO,1707362079
213,langepas,61.2544,75.2124,266.91,95,100,6.94,RU,1707362079
214,barah,13.7,30.3667,289.12,22,97,4.25,SD,1707362080
